#{"t_start": 1683583631.405932, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-59140,600,465.738587
-6325,48,466.103475
-6295,54,466.514031
-8415,34,466.839887
-11240,75,467.427427
-5880,36,467.703809
-7935,29,467.923275
-5435,24,468.105873
-9500,19,468.250231
-7045,23,468.41711
-14995,31,468.670812
-6370,39,468.976425
-22540,138,470.030066
-1495,4,470.063454
-19460,47,470.411958
-8775,63,470.900765
-4000,8,470.955303
-16880,371,473.795806
-360,29,474.010887
-10925,37,474.327815
-5625,87,475.176534
-10360,49,475.958034
-17195,237,477.860952
-1970,10,477.939029
-1850,34,478.204967
-83030,463,481.750581
-7975,21,482.071216
-5435,24,482.257606
-10420,37,482.543686
-6490,15,482.658925
-38570,265,484.685209
-10745,73,485.235075
-13200,87,485.965642
-16545,125,486.915977
-9965,27,487.119448
-32625,242,488.966422
-8340,49,489.341344
-935,15,489.456429
-6995,15,489.570443
-22385,68,490.094663
-4480,13,490.192471
-17390,57,490.622602
-92390,572,495.34645
-12625,101,496.207278
-11630,98,497.220396
-12885,49,497.642739
-23730,506,502.170811
-1930,18,502.333698
-440,13,502.456413
-6970,20,502.638366
-4910,28,502.846414
-1490,5,502.882477
-14270,75,503.518624
-8475,22,503.731072
-6880,38,504.083406
-5885,35,504.429601
-465,8,504.494345
-4000,8,504.554364
-8350,47,504.979069
-6305,52,505.472997
-6860,42,505.855675
-6875,39,506.226927
-4450,19,506.408255
-5500,11,506.513641
-995,3,506.540031
-500,1,506.54822
-4465,16,506.703311
-5995,13,506.820589
-1975,9,506.899824
-8920,34,507.219879
-7995,17,507.34703
-4980,14,507.456966
-490,3,507.486031
-1495,4,507.512758
-460,9,507.582386
-5475,16,507.69864
-1425,18,507.835307
-6470,19,508.000479
-7485,18,508.16252
-6745,65,508.758168
-5935,25,508.991638
-8895,39,509.351024
-500,1,509.359669
-6985,17,509.52624
-6410,31,509.815195
-4910,28,510.040289
-6365,40,510.400873
-470,7,510.460062
-5960,20,510.648818
-6930,28,510.926327
-8400,37,511.266922
-13555,83,512.057145
-8880,42,512.449078
-5330,45,512.869986
-485,4,512.902363
-5000,10,512.996396
-475,6,513.050848
-4920,26,513.259558
-9880,44,513.596369
-4000,8,513.659865
-4000,8,513.723375
-5495,12,513.812684
-435,14,513.921919
-5410,29,514.162773
-4500,9,514.231437
-1480,7,514.284515
-7395,36,514.589476
-6455,22,514.788727
-4000,8,514.865404
-6885,37,515.155861
-215,58,515.703134
-5430,25,515.911891
-5920,129,516.883289
-4000,8,516.94115
-6460,21,517.1024
-4995,11,517.178356
-890,24,517.369406
-11425,38,517.65493
-4875,35,517.937293
-6000,12,518.030374
-5995,13,518.130715
-6935,27,518.333262
-5435,24,518.517435
-9800,60,518.981929
-4490,11,519.062605
-4000,8,519.120084
-7940,28,519.371191
-3365,34,519.631064
-6990,16,519.757662
-11500,23,519.935751
-4980,14,520.046658
-885,25,520.275402
-5500,11,520.373629
-4500,9,520.456942
-905,21,520.640167
-15445,42,520.991849
-1500,3,521.019813
-5375,36,521.351686
-930,16,521.499714
-150,71,522.161949
-400,21,522.349927
-460,9,522.432653
-7500,15,522.56987
-4915,27,522.824081
-2980,10,522.916749
-500,1,522.925055
-7195,76,523.503297
-31100,143,524.666201
-229680,615,529.692201
-12005,124,530.746657
-8970,125,531.711338
-18045,54,532.123416
-495,2,532.137141
-9465,26,532.340495
-12190,289,534.807936
-5445,22,535.013887
-2900,26,535.267321
-9410,37,535.602156
-5115,88,536.407938
-6440,25,536.595228
-4000,8,536.660548
-35510,271,538.857038
-7470,21,539.037795
-5000,10,539.134751
-5500,11,539.23583
-5415,28,539.491144
-8990,20,539.678809
-14340,61,540.202398
-490,3,540.226776
-7425,30,540.509935
-820,38,540.890959
-2325,40,541.364808
-4805,49,541.755794
-400,21,541.94086
-8105,68,542.566485
-9870,147,543.915698
-6000,12,544.009128
-2920,22,544.18198
-4950,20,544.33984
-6895,35,544.604592
-2000,4,544.630484
-500,1,544.641205
-10945,33,544.898183
-7390,37,545.186606
-6900,34,545.444093
-420,17,545.573085
-17550,126,546.950072
-4930,24,547.159377
-40625,157,548.866961
-265,48,549.268541
-70305,180,550.820811
-19310,77,551.436076
-16390,55,551.902814
-21875,69,552.460355
-15420,47,552.824604
-435,14,552.942786
-42290,228,554.874822
-9365,46,555.379543
-500,1,555.387684
-43775,234,557.377289
-435,14,557.487124
-15380,55,558.001687
-43910,126,559.18996
-12830,60,559.702286
-23960,56,560.121064
-2405,24,560.300696
-5300,51,560.727632
-5865,39,561.110346
-25000,50,561.577139
-10365,48,562.018526
-12940,38,562.374008
-475,6,562.427217
-16365,60,562.967153
-495,2,562.986676
-4960,18,563.15631
-8910,36,563.487016
-5905,31,563.755277
-19000,38,564.042673
-11490,25,564.273102
-7000,14,564.402653
-31870,90,565.231432
-8440,29,565.49559
-11345,54,566.017505
-370,27,566.280216
-14730,84,566.978288
-6975,19,567.121468
-8895,39,567.423757
-6925,29,567.6449
-6495,14,567.754033
-11500,23,567.934926
-11350,53,568.342547
-490,3,568.366558
-3420,23,568.570833
-25850,183,570.234117
-22495,46,570.584566
-465,8,570.650924
-7185,78,571.269404
-10760,70,571.809434
-10930,137,572.852267
-8875,43,573.17771
-10480,25,573.369978
-410,19,573.516891
-4915,27,573.735997
-4950,20,573.905104
-9745,71,574.561555
-9385,42,574.951711
-4420,25,575.19074
-3500,7,575.279854
-7990,18,575.444399
-4000,8,575.522497
-6000,12,575.631719
-5990,14,575.761343
-4830,44,576.138415
-4500,9,576.20907
-6975,19,576.37374
-400,21,576.559435
-7705,75,577.183639
-9490,21,577.352268
-7435,28,577.570607
-9725,75,578.188207
-35655,141,579.37562
-6855,43,579.704316
-7490,17,579.838879
-5325,46,580.322768
-41645,155,581.641433
-1000,2,581.655146
-480,5,581.69345
-28115,134,582.709682
-5440,23,582.89214
-960,10,582.973397
-500,1,582.980717
-980,6,583.023013
-1985,7,583.08237
-6665,81,583.702945
-6425,28,583.919768
-465,8,583.986201
-995,3,584.010449
-330,35,584.282938
-36815,111,585.177257
-60740,477,588.931272
-14920,46,589.286779
-7290,57,589.714349
-3010,105,590.516747
-430,15,590.636028
-1135,76,591.277827
-18500,37,591.648071
-18145,108,592.559171
-1000,2,592.573564
-7530,110,593.410533
-475,6,593.458096
-6780,58,593.903857
-23650,118,594.881619
-3490,9,594.95188
-440,13,595.054564
-440,13,595.160964
-4390,31,595.398747
-865,29,595.619853
-27360,184,597.10211
-865,29,597.369403
-6410,31,597.660176
-12140,97,598.687469
-5970,18,598.827353
-3500,7,598.881863
-4945,21,599.037189
-445,12,599.137926
-5745,63,599.60858
-4500,9,599.673038
-13980,32,599.907335
-7870,42,600.302272
-4980,14,600.424699
-10225,76,601.077128
-420,17,601.222549
-15455,40,601.59007
-2450,15,601.725309
-3500,7,601.794517
-4000,8,601.866763
-445,12,601.981617
-7780,60,602.526973
-910,20,602.71803
-4960,18,602.900968
-4925,25,603.154405
-7445,26,603.366114
-795,43,603.750915
-7980,20,603.915991
-9900,40,604.314351
-9140,192,606.208859
-8865,146,607.578863
-8995,19,607.746362
-12405,44,608.150206
-55620,390,611.55248
-10410,39,611.892274
-475,6,611.937502
-17700,96,612.727863
-4500,9,612.808947
-4665,77,613.527396
-5400,31,613.818667
-4715,168,615.467713
-7425,30,615.755028
-6200,73,616.439629
-1980,8,616.517423
-1445,14,616.630127
-5405,30,616.936561
-4990,12,617.042007
-7985,19,617.225326
-5500,11,617.327656
-9440,31,617.611022
-500,1,617.618819
-4400,29,617.864005
-5460,19,618.023729
-420,17,618.155021
-10270,67,618.757842
-1985,7,618.816934
-5000,10,618.905597
-3715,65,619.58428
-8435,30,619.884955
-4905,29,620.158565
-6500,13,620.285777
-6405,32,620.583952
-13675,93,621.476371
-10500,21,621.685312
-9520,41,622.059772
-495,2,622.073693
-9000,18,622.229081
-1440,15,622.349592
-9010,84,623.047524
-5990,14,623.159962
-5800,52,623.658698
-9400,39,623.984817
-7535,109,624.958362
-5390,33,625.26398
-4605,89,625.960665
-255,50,626.440112
-7305,54,626.936185
-5855,41,627.313665
-4930,24,627.543253
-7405,34,627.863116
-935,15,628.010162
-5945,23,628.243591
-8405,36,628.600227
-5945,23,628.782091
-9780,64,629.370374
-1470,9,629.45511
-6485,16,629.57952
-7455,24,629.76589
-18065,91,630.617866
-31370,89,631.426071
-5420,27,631.643777
-305,40,632.030011
-5495,12,632.170348
-1960,12,632.281334
-2855,35,632.601586
-14820,167,634.062682
-6940,26,634.30803
-2190,67,634.911919
-855,31,635.151223
-4340,41,635.532023
-43560,378,638.734036
-6850,145,639.886136
-4430,23,640.064864
-5000,10,640.136847
-4500,9,640.207218
-4390,31,640.44078
-4500,9,640.512103
-7335,48,640.891098
-1985,7,640.945809
-5995,13,641.045014
-11950,34,641.307649
-7315,52,641.785425
-4445,20,641.959894
-7615,93,642.799869
-925,17,642.93077
-4500,9,643.004
-5405,30,643.342234
-5980,16,643.485231
-500,1,643.494474
-3925,23,643.701439
-4785,53,644.126196
-4840,244,646.295667
-5920,28,646.537767
-5165,78,647.242885
-6385,36,647.560502
-29450,69,648.114387
-7730,70,648.692552
-1985,7,648.752155
-6920,30,648.976707
-12995,27,649.21365
-6495,14,649.346481
-7485,18,649.50165
-5000,10,649.594252
-5000,10,649.686005
-6595,95,650.530311
-15695,109,651.491525
-3480,213,653.374587
-7500,15,653.518656
-405,20,653.698475
-6940,26,653.9281
-7500,116,655.00038
-7480,19,655.18296
-12890,48,655.61905
-10360,49,656.018447
-14860,58,656.516666
-415,18,656.676508
-9190,81,657.388802
-8995,19,657.564299
-6850,44,657.927783
-6630,88,658.696842
-5425,26,658.920638
-6500,13,659.040407
-5945,23,659.24596
-6365,40,659.605654
-500,1,659.618543
-6930,28,659.871879
-1925,19,660.056041
-455,10,660.150089
-1440,15,660.280568
-11990,58,660.801062
-4915,27,661.054616
-430,15,661.192812
-6990,16,661.344709
-9995,21,661.541759
-12495,26,661.780491
-14305,68,662.436623
-14900,50,662.895196
-955,11,663.002787
-7460,23,663.203827
-5000,10,663.280944
-30825,97,664.106162
-2945,17,664.260242
-5955,21,664.45482
-15405,50,664.879842
-1415,20,665.060886
-490,3,665.095213
-11180,188,666.766839
-5980,16,666.886301
-24000,48,667.302707
-4490,11,667.408418
-17360,63,667.991692
-1960,12,668.104258
-20490,43,668.530289
-25095,233,670.573685
-12000,24,670.760955
-13370,53,671.178064
-7780,60,671.643388
-485,4,671.678498
-8935,31,671.919244
-5995,13,672.019489
-14350,59,672.470354
-9485,22,672.634534
-9450,29,672.846341
-9780,64,673.393969
-7990,18,673.54942
-14400,49,673.928586
-355,30,674.158122
-500,1,674.165082
-410,19,674.332368
-10655,91,675.105846
-13420,43,675.43426
-9885,43,675.773828
-8465,24,675.96904
-5460,19,676.113727
-1990,6,676.162489
-1275,48,676.524384
-5990,14,676.630615
-8980,22,676.796147
-2830,17,676.930606
-420,17,677.056178
-10385,44,677.384717
-10350,51,677.810736
-1000,2,677.828742
-9490,21,677.995772
-5470,17,678.132752
-5500,11,678.217146
-1960,12,678.314242
-1935,17,678.492176
-500,1,678.50671
-6925,29,678.740924
-445,12,678.836799
-6585,97,679.582389
-109135,292,681.809235
-38565,165,683.038508
-1440,15,683.162755
-49200,159,684.624597
-960,10,684.698419
-21245,195,686.434715
-27440,168,687.850136
-955,11,687.936382
-29485,163,689.161631
-975,7,689.214849
-60190,313,691.618349
-1000,2,691.633213
-9870,46,691.9799
-11895,45,692.340446
-4830,44,692.697415
-6000,12,692.794577
-995,3,692.816754
-6465,20,692.965873
-465,8,693.030325
-5455,20,693.183863
-4000,8,693.245625
-1925,19,693.393285
-450,11,693.476002
-10375,46,693.846617
-6525,109,694.706665
-4255,32,694.947883
-4705,69,695.470241
-8780,62,695.978727
-415,18,696.117623
-16955,43,696.446939
-7000,14,696.55668
-340,33,696.825129
-1995,5,696.861339
-26380,281,699.16512
-7470,21,699.336583
-970,8,699.39777
-7400,35,699.674148
-15390,53,700.079088
-53990,366,702.85122
-3845,39,703.156325
-9375,39,703.460331
-24060,111,704.301311
-8290,59,704.746082
-1435,16,704.86782
-7900,36,705.135351
-435,14,705.244985
-7295,56,705.668282
-5000,10,705.748163
-19745,91,706.470876
-6385,36,706.803018
